date,portfolio,ret,cumulative_ret
2010-11-16,low,-0.023986343892583244,0.9760136561074167
2010-11-17,low,0.002788448947867347,0.9787352203598936
2010-11-18,low,0.021499024312012838,0.9997770726574341
2010-11-19,low,-0.009932586339886558,0.989846700562625
2010-11-22,low,0.0011574880469730783,0.9909924362868621
2010-11-23,low,0.0025360485808619744,0.9935056412485522
2010-11-24,low,0.015011202484067116,1.0084193555983973
2010-11-26,low,0.0008240706193024945,1.009250364361282
2010-11-29,low,0.002413714433195962,1.0116864065324491
2010-11-30,low,-0.0062612072499775295,1.0053520282691646
2010-12-01,low,0.018778162230494014,1.0242306917547592
2010-12-02,low,0.01356956382843057,1.038129055501563
2010-12-03,low,0.011192288165206263,1.04974809504341
2010-12-06,low,0.005817096564688734,1.0558545810808755
2010-12-07,low,-0.007284934089932791,1.0481627500491477
2010-12-08,low,0.005875414513228235,1.0543211406830117
2010-12-09,low,-0.005506766648692217,1.0485152401884874
2010-12-10,low,-0.005390333336368986,1.0428633935356084
2010-12-13,low,0.013564254975989846,1.0570090585106513
2010-12-14,low,-0.004824382630659188,1.051909642368323
2010-12-15,low,0.006254137230398412,1.0584884296256738
2010-12-16,low,-0.005194890746114585,1.052989697877742
2010-12-17,low,0.007647078179363815,1.0610419924194778
2010-12-20,low,0.0120549423769091,1.0738327924975755
2010-12-21,low,0.004430959972527997,1.0785909026183202
2010-12-22,low,0.01096893700676745,1.090421898285213
2010-12-23,low,0.005656487284608001,1.0965898558877214
2010-12-27,low,0.003262118986722959,1.1001670624772606
2010-12-28,low,0.0057146098101855496,1.106454087965336
2010-12-29,low,-0.0001930986530876777,1.1062404331712465
2010-12-30,low,-0.010062963095369663,1.0951083765176386
2010-12-31,low,0.018632146324488008,1.1155125960300878
2011-01-03,low,0.005997041111082505,1.1222023709284106
2011-01-04,low,-0.016279714311545065,1.1039332369299575
2011-01-05,low,0.004250849805672323,1.1086258913156364
2011-01-06,low,-0.006078096091356838,1.101887556618854
2011-01-07,low,0.0017323634955923163,1.1037964263981879
2011-01-10,low,0.008035528074449806,1.1126660135709878
2011-01-11,low,0.012044458210078397,1.1260674728732183
2011-01-12,low,0.004565675107011577,1.1312087311029309
2011-01-13,low,-0.0051841175753557615,1.1253444120386242
2011-01-14,low,0.0008984915782378403,1.1263555245154577
2011-01-18,low,0.0031267140330394428,1.1298773161401519
2011-01-19,low,0.0036692495275598893,1.1340231179485998
