date,portfolio,ret
2011-01-03,high,-0.004565471978089002
2011-01-04,low,-0.014155213839263985
2011-01-04,high,-0.020142806998154354
2011-01-05,low,0.003314797688824646
2011-01-05,high,0.007827591667065797
2011-01-06,low,-0.002828139832760226
2011-01-06,high,-0.01995277786232777
2011-01-07,low,-0.005641019589447829
2011-01-07,high,-0.0036248818705286972
2011-01-10,low,0.01184165521005214
2011-01-10,high,0.004834056690522319
2011-01-11,low,0.01112448465610467
2011-01-11,high,0.007249325032459064
2011-01-12,low,0.007104304335705368
2011-01-12,high,0.022877485013983165
2011-01-13,low,-0.00589182100870638
2011-01-13,high,0.00010854926921708399
2011-01-14,low,0.00455458825100787
2011-01-14,high,-0.013476810957506268
2011-01-18,low,0.0028159854560635936
2011-01-18,high,0.015171250283335118
2011-01-19,low,0.0025024996455226783
2011-01-19,high,-0.0036621209446712657
2011-01-20,low,-0.005269295938752706
2011-01-20,high,0.00020494804425264055
2011-01-21,low,0.0030984542276207656
2011-01-21,high,0.010799344278176498
2011-01-24,low,-0.0047000331813870765
2011-01-24,high,0.0009547230639499523
2011-01-25,low,-0.010690353142055659
2011-01-25,high,-0.01741500625106156
2011-01-26,low,0.01111948294685931
2011-01-26,high,0.020657286091176986
2011-01-27,low,-0.005205929628116755
2011-01-27,high,0.004427742618503559
2011-01-28,low,0.010025161878948466
2011-01-28,high,-0.0011212820213030068
2011-01-31,low,0.015443480693197807
2011-01-31,high,0.012145525989248644
2011-02-01,low,4.100111698034946e-05
2011-02-01,high,0.010365988143163422
2011-02-02,low,-0.0005256524790304891
2011-02-02,high,0.010566722120145691
2011-02-03,low,0.00011162290802934308
2011-02-03,high,-0.007652286364404694
2011-02-04,low,-0.007731422877131471
2011-02-04,high,0.00289905392912517
2011-02-07,low,-0.005819476581654152
2011-02-07,high,0.0032162698618079387
2011-02-08,low,0.0017866061277385498
2011-02-08,high,0.003343977735282453
2011-02-09,low,0.0014932290414033098
2011-02-09,high,0.014670522873567106
2011-02-10,low,-0.0008265523647410113
2011-02-10,high,-0.0015646458096757819
2011-02-11,low,-0.004432853164267948
2011-02-11,high,-0.004815776557769155
2011-02-14,low,0.010388586840853621
2011-02-14,high,-0.0022281045422192294
2011-02-15,low,0.0020227958433137187
2011-02-15,high,-0.008047007894282194
2011-02-16,low,0.00826004273941242
2011-02-16,high,0.00431653476236818
2011-02-17,low,0.0004842862551233363
2011-02-17,high,0.022550684166157794
2011-02-18,low,0.0036067808840311855
2011-02-18,high,-0.010131557837713684
2011-02-22,low,0.005117035007375924
2011-02-22,high,-0.029798043834935794
2011-02-23,low,0.014623171823848737
2011-02-23,high,-0.00458397121154702
2011-02-24,low,-0.0023458545405204145
2011-02-24,high,-0.006913634527382644
2011-02-25,low,0.013515305623336795
2011-02-25,high,0.026453574528290683
2011-02-28,low,-0.0002831501303879982
2011-02-28,high,0.014324089229477274
2011-03-01,low,0.009634836838733061
2011-03-01,high,-0.0052001679773193595
2011-03-02,low,0.006398644126307845
2011-03-02,high,0.009860006183526015
2011-03-03,low,3.089697441372767e-05
2011-03-03,high,0.0063342595872404725
2011-03-04,low,0.0007349863041324154
2011-03-04,high,0.005071161966853126
2011-03-07,low,-0.00355940942020981
2011-03-07,high,-0.006301264888850172
2011-03-08,low,-0.0029763032726463864
2011-03-08,high,-0.008209237693034
2011-03-09,low,0.0033405643539567388
2011-03-09,high,-0.008230025255063443
2011-03-10,low,-0.008208590255418528
2011-03-10,high,-0.025298330757587657
2011-03-11,low,-0.005423861019228907
2011-03-11,high,-0.008773865787197903
2011-03-14,low,-0.004216348087443285
2011-03-14,high,-0.0056037355352887
2011-03-15,low,-0.02559376863266144
2011-03-15,high,-0.04811662421732451
2011-03-16,low,0.0021674537011033366
2011-03-16,high,-0.006786084261384214
2011-03-17,low,0.023149573409918245
2011-03-17,high,0.03675491878079559
2011-03-18,low,-0.0016805298971083297
2011-03-18,high,0.028149992325645055
2011-03-21,low,0.004576785271343847
2011-03-21,high,0.0028522288393570353
2011-03-22,low,0.00784613320340908
2011-03-22,high,0.00033471112189586657
2011-03-23,low,0.005776781963483867
2011-03-23,high,-0.00567389259154644
2011-03-24,low,0.0007405914232605944
2011-03-24,high,0.01558921933891791
2011-03-25,low,0.0065112532614533735
2011-03-25,high,-0.0021688298393053797
2011-03-28,low,-0.0046015962401523775
2011-03-28,high,-0.012742590424033936
2011-03-29,low,-0.004187176986889993
2011-03-29,high,0.002678795738853985
2011-03-30,low,0.004273930781681986
2011-03-30,high,-0.00021590066096080786
2011-03-31,low,0.010912805008489318
2011-03-31,high,0.026644841214169632
2011-04-01,low,0.0016406708460990835
2011-04-01,high,0.006836942233396586
2011-04-04,low,0.0010743057462196182
2011-04-04,high,0.01416662123632228
2011-04-05,low,-0.002600526848444277
2011-04-05,high,0.010158315791586898
2011-04-06,low,0.00019387606451112054
2011-04-06,high,-0.0019796600993108935
2011-04-07,low,-0.0041388532824188
2011-04-07,high,-0.003150586969874763
2011-04-08,low,0.009288750244422668
2011-04-08,high,0.01612475719376683
2011-04-11,low,-0.003909571807097136
2011-04-11,high,-0.0009851842620386738
2011-04-12,low,-0.013345143190655575
2011-04-12,high,-0.022307919027677533
2011-04-13,low,0.0014812953175904595
2011-04-13,high,0.0014131980279027366
2011-04-14,low,0.006474608782088303
2011-04-14,high,-0.0015999550757306656
2011-04-15,low,0.008495832611698218
2011-04-15,high,0.0049261574880696156
2011-04-18,low,-0.004382111530561782
2011-04-18,high,-0.0014883471960903387
2011-04-19,low,0.0047876448156199646
2011-04-19,high,0.0007427339366260088
2011-04-20,low,0.010300278050723415
2011-04-20,high,0.004412683656033323
2011-04-21,low,0.005549324602276268
2011-04-21,high,0.01071518104201939
2011-04-25,low,-0.005210791803988684
2011-04-25,high,0.007890329949608067
2011-04-26,low,-0.003290038388568295
2011-04-26,high,-0.006880901979415496
2011-04-27,low,0.0036452180640440695
2011-04-27,high,-0.009041215404934707
2011-04-28,low,-0.00033856353636408087
2011-04-28,high,-0.008630939117593434
2011-04-29,low,0.010546416720484255
2011-04-29,high,0.0186836587951205
2011-05-02,low,-0.0058122949318823265
2011-05-02,high,-0.01836496473181878
2011-05-03,low,-0.010648816766717693
2011-05-03,high,-0.00953694743686336
2011-05-04,low,-0.01137020068740431
2011-05-04,high,-0.02231721148609715
2011-05-05,low,-0.028321180485045304
2011-05-05,high,-0.04566610636977397
2011-05-06,low,0.0007338217786942825
2011-05-06,high,-0.01360758824209401
2011-05-09,low,0.008909591680760326
2011-05-09,high,0.02362608841927889
2011-05-10,low,0.0030708916570306166
2011-05-10,high,0.016421210031062946
2011-05-11,low,-0.012274808393136754
2011-05-11,high,-0.04054801901576419
2011-05-12,low,0.008634193230165937
2011-05-12,high,-0.005421473253110125
2011-05-13,low,0.0008219438030185605
2011-05-13,high,-0.001507117926796903
2011-05-16,low,0.0004030900027536666
2011-05-16,high,0.0017881361208320439
2011-05-17,low,-0.0017050387441291794
2011-05-17,high,0.007498800177679833
2011-05-18,low,0.009464344449296985
2011-05-18,high,0.03166582396888371
2011-05-19,low,-0.006501935974844374
2011-05-19,high,-0.01068552716708677
2011-05-20,low,0.0030796766203271034
